sp|P00974|BPT1_BOVIN	93.103	58
sp|P00975|IBPS_BOVIN	84.483	58
sp|P04815|BPT2_BOVIN	81.034	58
sp|Q29100|UPTI_PIG	64.815	54
sp|Q28201|TKDP1_BOVIN	54.545	55
sp|Q29428|TKDP1_SHEEP	52.727	55
sp|O62845|ELAC_NOTEU	51.852	54
sp|P00993|IBP_CARCR	49.057	53
sp|P00976|IBPC_BOVIN	46.296	54
sp|P0DMW6|VKT3A_ACTEQ	52.830	53
sp|Q2ES47|VKT4_DABRR	49.123	57
sp|B7S4N9|VKT_OXYSC	46.552	58
sp|Q2ES46|VKT5_DABRR	46.552	58
sp|P0DMW7|VKT3B_ACTEQ	50.943	53
sp|Q29143|ELAC_TRIVU	50.000	54
sp|B6RLX2|VKTCT_OPHHA	49.123	57
sp|P0DJ50|VKT31_OLIMR	54.902	51
sp|A0A6P8HC43|ATPI1_ACTTE	54.717	53
sp|A0A6P8HC43|ATPI1_ACTTE	52.830	53
sp|A0A6P8HC43|ATPI1_ACTTE	50.943	53
sp|A0A6P8HC43|ATPI1_ACTTE	41.071	56
sp|F8J2F5|VKT87_DRYCN	46.429	56
sp|B5L5M7|IVBI_AUSSU	45.614	57
sp|P00994|ISIK_HELPO	45.455	55
sp|P0DMX0|VKT3_ANTAF	49.057	53
sp|P0DN09|VKT5_ANEVI	48.077	52
sp|A8Y7N9|VKTC6_DABSI	44.828	58
sp|P82966|VKTCI_OPHHA	45.614	57
sp|A6MFL1|VKT1_DEMVE	43.860	57
sp|P00991|VKT1_VIPAA	41.379	58
sp|A8Y7P6|VKTB6_DABSI	43.860	57
sp|B5KL37|VKT6_CRYNI	43.636	55
sp|Q2ES50|VKT1_DABRR	43.860	57
sp|A8Y7P0|VKTB7_DABSI	43.860	57
sp|A8Y7P2|VKTB2_DABSI	43.860	57
sp|C1IC50|VKT1_WALAE	45.614	57
sp|Q9TWG0|VKT1_ANESU	48.077	52
sp|P00990|VKT2_DABSI	43.860	57
sp|P81547|VKT1_ANTAF	47.059	51
sp|O43291|SPIT2_HUMAN	48.148	54
sp|O43291|SPIT2_HUMAN	33.962	53
sp|A7X3V4|VKT1_TELDH	43.636	55
sp|P0DN06|VKT1A_ANEVI	48.077	52
sp|Q6T6T5|VKT1_BITGA	43.636	55
sp|P0DQQ9|VKT1_PALCA	45.098	51
sp|A8Y7N5|VKTC2_DABSI	45.614	57
sp|Q90WA0|VKT2_PSETT	42.105	57
sp|Q90W98|VKT4_PSETT	43.636	55
sp|Q90WA1|VKT1_PSETT	43.860	57
sp|C1IC52|VKT2_WALAE	45.614	57
sp|P0DN12|VKT8_ANEVI	48.077	52
sp|A6MGX9|VKT5_DEMVE	43.860	57
sp|B5KL36|VKT5_CRYNI	42.105	57
sp|A6MFL2|VKT2_DEMVE	43.860	57
sp|P00985|VKT2_HEMHA	47.368	57
sp|Q9TWF9|VKT2_ANESU	48.077	52
sp|B5KF95|VKT1_CRYNI	42.105	57
sp|H6VC06|VKTK2_DABRR	43.860	57
sp|Q90W99|VKT3_PSETT	43.860	57
sp|A6MFL4|VKT4_DEMVE	42.105	57
sp|P16044|IBPI_TACTR	47.170	53
sp|P10280|VKT52_ANESU	46.154	52
sp|P00986|VKT2_NAJNI	47.368	57
sp|B2BS84|VKT_AUSLA	47.458	59
sp|B2BS84|VKT_AUSLA	38.182	55
sp|P19761|TFPI1_RABIT	49.091	55
sp|P19761|TFPI1_RABIT	46.296	54
sp|P19761|TFPI1_RABIT	41.509	53
sp|P0DN11|VKT7_ANEVI	46.154	52
sp|D5J9Q8|VKT5_BUNFL	42.105	57
sp|Q6ITC0|VKT2_PSEAU	40.351	57
sp|B5KF96|VKT2_CRYNI	42.105	57
sp|P0DN08|VKT53_ANEVI	46.154	52
sp|Q28864|TFPI1_MACMU	47.273	55
sp|Q28864|TFPI1_MACMU	46.296	54
sp|Q28864|TFPI1_MACMU	40.385	52
sp|C0HLB2|VKT_PSEPC	43.636	55
sp|P0DN10|VKT6_ANEVI	46.154	52
sp|E5AJX3|VKT_VIPNI	41.818	55
sp|F8J2F4|VKT16_DRYCN	40.351	57
sp|C1IC51|VKT3_WALAE	45.614	57
sp|Q8T3S7|VKT1_ARAVE	45.283	53
sp|Q8WPI3|KUNIG_RHIMP	44.643	56
sp|Q8WPI3|KUNIG_RHIMP	46.667	45
sp|B5KL40|VKT3_AUSSU	40.351	57
sp|Q08E66|WFKN2_BOVIN	48.077	52
sp|Q08E66|WFKN2_BOVIN	37.255	51
sp|A6MGY1|VKT7_DEMVE	40.351	57
sp|A8Y7P4|VKTB4_DABSI	42.105	57
sp|P0DMJ4|VKTI3_ANTFU	44.444	54
sp|Q9BDL1|EPPI_MACMU	45.455	55
sp|P0DMJ3|VKTI1_ANTFU	44.444	54
sp|P25660|VKT9_BUNFA	47.273	55
sp|P0DMJ2|VKT3C_ACTEQ	47.059	51
sp|O54819|TFPI1_MOUSE	45.455	55
sp|O54819|TFPI1_MOUSE	43.636	55
sp|O54819|TFPI1_MOUSE	40.385	52
sp|Q02445|TFPI1_RAT	45.455	55
sp|Q02445|TFPI1_RAT	44.444	54
